experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,classifier_key,model_source,id_accuracy,id_macro_f1,has_raw_decision_scores,msp_confidence_threshold,id_mean_confidence,ood_mean_confidence,ood_p90_confidence,ood_high_conf_count,ood_high_conf_rate,score_seconds
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9905669081465283,0.996091150791846,0.03024193548387097,-9.661263465881348,0.9340746624305004,0.8789237668161435,0.9966101694915255,0.9966101694915255,0.32661290322580644,0.9009546539379475,0.8349986331328595,334,162,4,1176,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8889357447624207,0.38318851590156555,0.7682386636734009,49,0.04152542372881356,
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.9330849088364175,0.9805865458515655,0.3865927419354839,-9.661263465881348,0.9198470528821874,0.907861008259755,0.9321538236584296,0.9321538236584296,0.32610887096774194,0.8740791114133515,0.8030224763453438,1337,647,464,6375,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.4816075265407562,0.9168469309806824,768,0.11229711946190964,0.008859791792929173
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.806302147771508,0.798820846653193,0.657258064516129,-9.661263465881348,0.7561411344350156,0.7235042735042735,0.7918615528531338,0.7918615528531338,0.32610887096774194,0.735080058224163,0.7328763409426959,1337,647,445,1693,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.6943029165267944,0.9698792695999146,540,0.25257249766136575,0.008859791792929173
experiment4_accuracy_vs_ood,Classifier-output scoring,Logistic Regression + Energy,Energy,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9907453094228408,0.9961615988217103,0.03578629032258065,-9.661263465881348,0.9335992023928216,0.8785888534434227,0.9959583067432461,0.9959583067432461,0.32610887096774194,0.90037397157816,0.8349247178877521,1337,647,19,4682,0.0001565832644701004,lr_energy,lr,loaded,0.9133064516129032,0.9133721517240848,True,0.9,0.8907675743103027,0.3848743140697479,0.7724338173866272,228,0.048500319081046586,0.008859791792929173
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.8743738583507523,0.9538853397692095,0.532258064516129,1.9073486328125e-05,0.9088863892013498,0.8768312533912099,0.9433741973146527,0.9433741973146527,0.4576612903225806,0.8533272974196469,0.742856453496036,269,227,97,1616,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.8254755139350891,0.9998807907104492,887,0.5178050204319906,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.7726162016582945,0.7687676751373251,0.7862903225806451,1.9073486328125e-05,0.7406793703396851,0.6632047477744807,0.8386491557223265,0.8386491557223265,0.4576612903225806,0.6958211856171039,0.6904939326998729,269,227,86,447,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.9085010886192322,0.9999964833259583,377,0.7073170731707317,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9203372744669218,0.9564336250698509,0.29435483870967744,1.9073486328125e-05,0.907608695652174,0.8373925501432665,0.9906779661016949,0.9906779661016949,0.4576612903225806,0.8579952267303103,0.7665083378895572,269,227,11,1169,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.7879732847213745,0.9981887340545654,510,0.4322033898305085,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.8660185121858033,0.9513734517676535,0.5463709677419355,1.9073486328125e-05,0.9019079367331017,0.8757575757575757,0.9296680801286737,0.9296680801286737,0.45463709677419356,0.8432505950357021,0.7375154916772402,1082,902,481,6358,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.831104040145874,0.9999186992645264,3775,0.551981283813423,0.02817016700282693
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7579321428302,0.7601796776216299,0.7641129032258065,1.9073486328125e-05,0.7229573618987608,0.6561189477697293,0.8049579045837231,0.8049579045837231,0.45463709677419356,0.6800097040271713,0.6751604039047647,1082,902,417,1721,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.9117187857627869,0.9999976754188538,1606,0.7511693171188026,0.02817016700282693
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MSP,MSP,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9151758526840549,0.9543093771048533,0.30393145161290325,1.9073486328125e-05,0.9056640625,0.837154721068785,0.9863858753456711,0.9863858753456711,0.45463709677419356,0.8554973821989529,0.7658743892857388,1082,902,64,4637,0.0016902917996048927,mlp_msp,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.794440746307373,0.998710036277771,2169,0.46139119336311424,0.02817016700282693
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.8780871608007079,0.9574002109687102,0.532258064516129,0.00023175675596576184,0.9089376053962901,0.8764227642276423,0.9439579684763573,0.9439579684763573,0.4596774193548387,0.8533272974196469,0.7421402745607593,268,228,96,1617,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.8254755139350891,0.9998807907104492,887,0.5178050204319906,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.7727448102644798,0.769693905664663,0.7620967741935484,0.00023175675596576184,0.7411083540115798,0.6627218934911243,0.8405253283302064,0.8405253283302064,0.4596774193548387,0.6958211856171039,0.6904239544876838,268,228,85,448,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.9085010886192322,0.9999964833259583,377,0.7073170731707317,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.925669764898852,0.9620191487720555,0.29838709677419356,0.00023175675596576184,0.9072564998059759,0.8367931281317108,0.9906779661016949,0.9906779661016949,0.4596774193548387,0.8573985680190931,0.7655002733734281,268,228,11,1169,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.7879732847213745,0.9981887340545654,510,0.4322033898305085,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.8693593933512257,0.9545657059586657,0.5448588709677419,0.00023175675596576184,0.902041394953218,0.8753611225753198,0.9303991811668373,0.9303991811668373,0.4566532258064516,0.8433639351694435,0.7368729776801928,1078,906,476,6363,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.831104040145874,0.9999186992645264,3775,0.551981283813423,0.02845799969509244
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7578002410302062,0.7604189184995533,0.7615927419354839,0.00023175675596576184,0.7228865114327669,0.6553822746291366,0.8058933582787652,0.8058933582787652,0.4566532258064516,0.6795245026686074,0.6746200662361568,1078,906,415,1723,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.9117187857627869,0.9999976754188538,1606,0.7511693171188026,0.02845799969509244
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Entropy,Entropy,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9200961446089025,0.9594317695981867,0.3034274193548387,0.00023175675596576184,0.9056309163657655,0.8366390191128742,0.9870240374388428,0.9870240374388428,0.4566532258064516,0.8553477935676889,0.7651854058161955,1078,906,61,4640,0.001492166891694069,mlp_entropy,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.794440746307373,0.998710036277771,2169,0.46139119336311424,0.02845799969509244
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.8721594118976329,0.9508818316678588,0.5342741935483871,3.8623809814453125e-05,0.9090909090909091,0.8802624384909786,0.939871570344425,0.939871570344425,0.4415322580645161,0.854232684472612,0.7491696561399545,277,219,103,1610,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.8254755139350891,0.9998807907104492,887,0.5178050204319906,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.7732233099316105,0.7677341047043927,0.7580645161290323,3.8623809814453125e-05,0.7414225941422594,0.6691842900302115,0.8311444652908068,0.8311444652908068,0.4415322580645161,0.6997084548104956,0.6948061036131453,277,219,90,443,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.9085010886192322,0.9999964833259583,377,0.7073170731707317,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.91684834609076,0.9514714496762544,0.28830645161290325,3.8623809814453125e-05,0.9095869056897895,0.841991341991342,0.9889830508474576,0.9889830508474576,0.4415322580645161,0.8615751789976134,0.7737253963914708,277,219,13,1167,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.7879732847213745,0.9981887340545654,510,0.4322033898305085,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,eval,Overall,8823,1984,6839,0.8636301259616337,0.9480329017104934,0.546875,3.8623809814453125e-05,0.9011379800853485,0.8773023126990721,0.9263050153531218,0.9263050153531218,0.4465725806451613,0.8424572140995127,0.7398662173539803,1098,886,504,6335,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.831104040145874,0.9999186992645264,3775,0.551981283813423,0.025995666161179543
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7585617116539425,0.7583426056897973,0.7696572580645161,3.8623809814453125e-05,0.7224334600760456,0.6587057010785824,0.7998129092609916,0.7998129092609916,0.4465725806451613,0.6812227074235808,0.6766201643079152,1098,886,428,1710,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.9117187857627869,0.9999976754188538,1606,0.7511693171188026,0.025995666161179543
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + Margin,Margin,default classifier settings,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.911414910005421,0.9486718470657876,0.3019153225806452,3.8623809814453125e-05,0.9057971014492754,0.8392306296497913,0.9838332269729845,0.9838332269729845,0.4465725806451613,0.856095736724009,0.7686303231639116,1098,886,76,4625,0.0013787909410893917,mlp_margin,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9824762940406799,0.794440746307373,0.998710036277771,2169,0.46139119336311424,0.025995666161179543
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.8743738583507523,0.9538853397692095,0.532258064516129,1.9073668227065355e-05,0.9088863892013498,0.8768312533912099,0.9433741973146527,0.9433741973146527,0.4576612903225806,0.8533272974196469,0.742856453496036,269,227,97,1616,0.0013919170014560223,mlp_max_logit,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.8254755139350891,0.9998807907104492,887,0.5178050204319906,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.7726162016582945,0.7687676751373251,0.7862903225806451,1.9073668227065355e-05,0.7406793703396851,0.6632047477744807,0.8386491557223265,0.8386491557223265,0.4576612903225806,0.6958211856171039,0.6904939326998729,269,227,86,447,0.0013919170014560223,mlp_max_logit,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.9085010886192322,0.9999964833259583,377,0.7073170731707317,
experiment4_accuracy_vs_ood,Classifier-output scoring,MLP + MaxLogit,MaxLogit,default classifier settings,validation_best_f1,validation,Far-OOD,1676,496,1180,0.9203372744669218,0.9564336250698509,0.29435483870967744,1.9073668227065355e-05,0.907608695652174,0.8373925501432665,0.9906779661016949,0.9906779661016949,0.4576612903225806,0.8579952267303103,0.7665083378895572,269,227,11,1169,0.0013919170014560223,mlp_max_logit,mlp,loaded,0.9133064516129032,0.9132524940603197,False,0.9,0.9806575179100037,0.7879732847213745,0.9981887340545654,510,0.4322033898305085,
