model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
MLP,Entropy,"hidden=512x256, lr=0.0005, alpha=0.001",Overall,0.9169354838709678,0.9170828023897101,0.8593691062645221,0.9482032768278992,0.5645161290322581,0.00018675535102374852,0.9004835263690543,0.8672298029023175,0.9363891487371375,0.9363891487371375,0.49435483870967745,0.8395576504713561,0.7210171550137301,0.4420343100274601,1254,1226,544,8008
MLP,Entropy,"hidden=512x256, lr=0.0005, alpha=0.001",Near-OOD,0.9169354838709678,0.9170828023897101,0.7609112510718469,0.753809542731447,0.7483870967741936,0.0004657662648241967,0.7251119531519118,0.671451355661882,0.7880943466866343,0.7880943466866343,0.4153225806451613,0.6901572510192195,0.6863858830207366,0.37277176604147294,1450,1030,566,2105
MLP,Entropy,"hidden=512x256, lr=0.0005, alpha=0.001",Far-OOD,0.9169354838709678,0.9170828023897101,0.9040861494918024,0.9486830119506984,0.32620967741935486,0.0014853059547021985,0.9105121732757919,0.87359375,0.95068865839143,0.95068865839143,0.32620967741935486,0.8685563927759837,0.8122394904860376,0.6244789809720752,1671,809,290,5591
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Overall,0.9181451612903225,0.91809492232391,0.8711622352062525,0.9551672160075082,0.5423387096774194,0.00022577976051252335,0.9036492220650636,0.8753699440973364,0.9338166510757717,0.9338166510757717,0.4584677419354839,0.8456308919506889,0.7376744545701439,0.4753489091402878,1343,1137,566,7986
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Near-OOD,0.9181451612903225,0.91809492232391,0.760813577130711,0.7624474440643112,0.7592741935483871,0.00013697445683646947,0.7282749675745784,0.6422647983986274,0.8408835642081617,0.8408835642081617,0.5044354838709677,0.6746262861580276,0.6682240401685969,0.336448080337194,1229,1251,425,2246
MLP,Entropy,"hidden=512x256, lr=0.001, alpha=0.001",Far-OOD,0.9181451612903225,0.91809492232391,0.9212797774133212,0.9599787123191091,0.2995967741935484,0.0018029359634965658,0.9153783563873068,0.8776720237166484,0.9564699880972624,0.9564699880972624,0.3161290322580645,0.8756129649563449,0.8201704779195989,0.6403409558391979,1696,784,256,5625
MLP,Entropy,"hidden=512x256, lr=0.003, alpha=0.001",Overall,0.9189516129032258,0.9191251227171159,0.8770575030553125,0.9570727685260824,0.4737903225806452,0.00022330196225084364,0.911039178479741,0.8714499252615845,0.9543966323666978,0.9543966323666978,0.4854838709677419,0.8555112400290066,0.7344563806994779,0.4689127613989559,1276,1204,390,8162
MLP,Entropy,"hidden=512x256, lr=0.003, alpha=0.001",Near-OOD,0.9189516129032258,0.9191251227171159,0.7810019655559716,0.7769734496499747,0.7032258064516129,0.00010670716437743977,0.7531172069825436,0.6451268357810414,0.904530138524897,0.904530138524897,0.5358870967741935,0.6924868957483984,0.6843215208753517,0.3686430417507035,1151,1329,255,2416
MLP,Entropy,"hidden=512x256, lr=0.003, alpha=0.001",Far-OOD,0.9189516129032258,0.9191251227171159,0.920683474941172,0.9603890635346075,0.30201612903225805,0.0030443230643868446,0.9148362864374949,0.8799874332390826,0.9525590885903757,0.9525590885903757,0.30806451612903224,0.8752541562014113,0.8222472862306718,0.6444945724613436,1716,764,279,5602
LOF,negative_score_samples,"k=5, metric=euclidean",Overall,,,0.9157038581806934,0.9739959469758739,0.5080645161290323,1.1804182529449463,0.9075369966731673,0.8906777752758388,0.9250467726847521,0.9250467726847521,0.39153225806451614,0.853879622915156,0.766757257310118,0.533514514620236,1509,971,641,7911
LOF,negative_score_samples,"k=5, metric=euclidean",Near-OOD,,,0.7594714284851634,0.7517412861305426,0.7213709677419354,1.073585867881775,0.7339534883720931,0.6263561788833024,0.8861849494571321,0.8861849494571321,0.5693548387096774,0.6668608037274316,0.6584150553737274,0.3168301107474547,1068,1412,304,2367
LOF,negative_score_samples,"k=5, metric=euclidean",Far-OOD,,,0.9866606375918074,0.9922797212331529,0.05403225806451613,1.5986640453338623,0.9720361687876758,0.9574468085106383,0.9870770277163747,0.9870770277163747,0.10403225806451613,0.9600526252840569,0.9415223848259293,0.8830447696518586,2222,258,76,5805
LOF,negative_score_samples,"k=10, metric=euclidean",Overall,,,0.9258861820664473,0.9769027235616679,0.4399193548387097,1.179383397102356,0.9161305147058824,0.9004065040650406,0.9324134705332086,0.9324134705332086,0.3556451612903226,0.8676577229876722,0.788384154621443,0.5767683092428859,1598,882,578,7974
LOF,negative_score_samples,"k=10, metric=euclidean",Near-OOD,,,0.7829991485610078,0.7629488949507737,0.6536290322580646,1.0777770280838013,0.7498819455375413,0.6469310157523085,0.89180082366155,0.89180082366155,0.5241935483870968,0.6915162104445739,0.6838036376372266,0.36760727527445325,1180,1300,289,2382
LOF,negative_score_samples,"k=10, metric=euclidean",Far-OOD,,,0.9907818233677615,0.9941316155486161,0.03185483870967742,1.7191894054412842,0.9794681925277684,0.9695152423788106,0.9896276143513008,0.9896276143513008,0.07379032258064516,0.9708168879320656,0.9579186458853278,0.9158372917706556,2297,183,61,5820
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,,,0.9360724901173842,0.9795476087949104,0.34274193548387094,1.1418097019195557,0.9278129236330773,0.8973994755244755,0.9603601496725912,0.9603601496725912,0.3786290322580645,0.8841551849166063,0.7908655587072633,0.5817311174145268,1541,939,339,8213
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,,,0.8137122438134805,0.781843869197189,0.5419354838709678,1.1265690326690674,0.7857497928748964,0.7048156956004756,0.8876825159116436,0.8876825159116436,0.4004032258064516,0.7489807804309843,0.7436396450525959,0.487279290105192,1487,993,300,2371
