model,score,split,id_accuracy,id_macro_f1,has_raw_decision_scores,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,tn,fp,fn,tp
LDA,Margin,Near-OOD,0.9008064516129032,0.9010289105232726,True,0.5970185293655874,0.588086751541069,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
LDA,Margin,Far-OOD,0.9008064516129032,0.9010289105232726,True,0.725155640636056,0.829903212527531,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
LDA,MaxLogit,Overall,0.9008064516129032,0.9010289105232726,True,0.9093086601134615,0.9742385820772776,0.5532258064516129,-314.26692571283763,0.9005124777183601,0.8598936170212766,0.9451590271281571,0.9451590271281571,0.5310483870967742,0.8381073241479333,1163,1317,469,8083
LDA,MaxLogit,Near-OOD,0.9008064516129032,0.9010289105232726,True,0.8131257472735837,0.816237920594502,0.7487903225806452,-242.64238648996238,0.7596017069701281,0.7233322045377583,0.7997004867090978,0.7997004867090978,0.3294354838709677,0.7375266938458551,1663,817,535,2136
LDA,MaxLogit,Far-OOD,0.9008064516129032,0.9010289105232726,True,0.9529924826258427,0.9828504709700454,0.44637096774193546,-143.55669041118085,0.9337417943107221,0.9621212121212122,0.9069886073796973,0.9069886073796973,0.0846774193548387,0.9094605908384165,2270,210,547,5334
LDA,Energy,Overall,0.9008064516129032,0.9010289105232726,True,0.909308801563113,0.9742386916751566,0.5532258064516129,-314.26692571283763,0.9005124777183601,0.8598936170212766,0.9451590271281571,0.9451590271281571,0.5310483870967742,0.8381073241479333,1163,1317,469,8083
LDA,Energy,Near-OOD,0.9008064516129032,0.9010289105232726,True,0.8131246905230614,0.8162363966165342,0.7487903225806452,-242.64238648996238,0.7596017069701281,0.7233322045377583,0.7997004867090978,0.7997004867090978,0.3294354838709677,0.7375266938458551,1663,817,535,2136
LDA,Energy,Far-OOD,0.9008064516129032,0.9010289105232726,True,0.9529931682674111,0.9828507602740253,0.44637096774193546,-143.55669041118085,0.9337417943107221,0.9621212121212122,0.9069886073796973,0.9069886073796973,0.0846774193548387,0.9094605908384165,2270,210,547,5334
QDA,MSP,Overall,0.9125,0.9125631203614376,True,0.506990323900842,0.7784504473751148,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
QDA,MSP,Near-OOD,0.9125,0.9125631203614376,True,0.5562478110167751,0.5594000037640353,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
QDA,MSP,Far-OOD,0.9125,0.9125631203614376,True,0.4846188312828079,0.6963012698117227,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
QDA,Entropy,Overall,0.9125,0.9125631203614376,True,0.5829370464181177,0.802061677272658,0.8116935483870967,2.5331525906e-314,0.8792987188132164,0.7901556819241167,0.9911131898971001,0.9911131898971001,0.9076612903225807,0.7890681653372009,229,2251,76,8476
QDA,Entropy,Near-OOD,0.9125,0.9125631203614376,True,0.6872286415623,0.64416253110047,0.6907258064516129,2.8455127654294656e-113,0.7376924249352232,0.622107969151671,0.9060277049794084,0.9060277049794084,0.592741935483871,0.665890118423607,1010,1470,251,2420
QDA,Entropy,Far-OOD,0.9125,0.9125631203614376,True,0.5355704674978471,0.70271481140132,0.8379032258064516,2.5331525906e-314,0.8331180944181374,0.7206156137520169,0.9872470668253699,0.9872470668253699,0.9076612903225807,0.721803612008133,229,2251,75,5806
