model,score,hyperparameters,split,threshold_source,id_percentile,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,90,1.6096067428588867,0.8819717951975606,0.9655076495132128,0.8117399438727783,0.8117399438727783,0.1,0.8315808556925308,0.8558699719363891,0.7117399438727783,2232,248,1610,6942
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,95,1.8727705478668213,0.8483440631844428,0.9809669992325403,0.747310570626754,0.747310570626754,0.05,0.7928752719361857,0.848655285313377,0.697310570626754,2356,124,2161,6391
LOF,negative_score_samples,"k=20, metric=euclidean",Overall,id_percentile,99,2.613870143890381,0.7158257224135349,0.9947981689554724,0.5590505144995322,0.5590505144995322,0.010080645161290322,0.6559100797679478,0.7744849346691209,0.5489698693382419,2455,25,3771,4781
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,50,1.0767287015914917,0.7783851319693893,0.6677384780278671,0.932983901160614,0.932983901160614,0.5,0.7245195107746069,0.716491950580307,0.432983901160614,1240,1240,179,2492
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,60,1.1271179914474487,0.7844698855151817,0.7044100119189511,0.8850617746162486,0.8850617746162486,0.4,0.7478159580663949,0.7425308873081242,0.48506177461624855,1488,992,307,2364
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,70,1.213979959487915,0.7620083378647816,0.7385804638088546,0.7869711718457506,0.7869711718457506,0.3,0.7450980392156863,0.7434855859228753,0.4869711718457506,1736,744,569,2102
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,80,1.3604300022125244,0.6934818481848185,0.7721635277905374,0.6293523025084238,0.6293523025084238,0.2,0.7115123277033586,0.7146761512542119,0.42935230250842377,1984,496,990,1681
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,90,1.6096067428588867,0.5434131736526946,0.8145100972326104,0.4077124672407338,0.4077124672407338,0.1,0.644729178800233,0.6538562336203669,0.30771246724073376,2232,248,1582,1089
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,95,1.8727705478668213,0.3745274789182902,0.8385416666666666,0.24110819917633844,0.24110819917633844,0.05,0.5824111822947,0.5955540995881692,0.19110819917633842,2356,124,2027,644
LOF,negative_score_samples,"k=20, metric=euclidean",Near-OOD,id_percentile,99,2.613870143890381,0.09402615765288087,0.8417721518987342,0.04979408461250468,0.04979408461250468,0.010080645161290322,0.5024267132595612,0.5198567197256072,0.03971343945121436,2455,25,2538,133
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,50,1.0767287015914917,0.9046300569143209,0.8258671534896784,1.0,1.0,0.5,0.8516923812941036,0.75,0.5,1240,1240,0,5881
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,60,1.1271179914474487,0.922220479849459,0.8556671031572821,1.0,1.0,0.4,0.8813539050352829,0.8,0.6,1488,992,0,5881
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,70,1.213979959487915,0.9405085558931713,0.8876981132075472,1.0,1.0,0.3,0.9110154287764621,0.85,0.7,1736,744,0,5881
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,80,1.3604300022125244,0.9595366291401534,0.922220479849459,1.0,1.0,0.2,0.9406769525176414,0.9,0.8,1984,496,0,5881
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,90,1.6096067428588867,0.9769654481722584,0.9593509260776922,0.995238904948138,0.995238904948138,0.1,0.9669895945461069,0.9476194524740691,0.8952389049481381,2232,248,28,5853
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,95,1.8727705478668213,0.9780462899931927,0.9788792369272696,0.9772147593946607,0.9772147593946607,0.05,0.9691424470757086,0.9636073796973303,0.9272147593946607,2356,124,134,5747
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,id_percentile,99,2.613870143890381,0.880803486829638,0.9946501176974106,0.7903417786090801,0.7903417786090801,0.010080645161290322,0.8495395287645019,0.8901305667238948,0.7802611334477897,2455,25,1233,4648
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,50,-0.028255427143676376,0.8660104226983207,0.857765542555632,0.8744153414405987,0.8744153414405987,0.5,0.7902465554749819,0.6872076707202994,0.37441534144059874,1240,1240,1074,7478
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,60,-0.02567707245838572,0.8439222336624069,0.8753612262847091,0.8146632366697848,0.8146632366697848,0.4,0.7664068165337201,0.7073316183348923,0.4146632366697848,1488,992,1585,6967
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,70,-0.023003890515165975,0.8088923057210584,0.894572764630863,0.7381898971000935,0.7381898971000935,0.3,0.7296047860768673,0.7190949485500467,0.43818989710009354,1736,744,2239,6313
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,80,-0.020124180966777237,0.7550908090258668,0.9171122994652406,0.6417212347988774,0.6417212347988774,0.2,0.6773023930384336,0.7208606173994387,0.4417212347988774,1984,496,3064,5488
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,90,-0.016132074578717674,0.6376654539825064,0.9432104419509961,0.48164172123479887,0.48164172123479887,0.1,0.5756889050036258,0.6908208606173994,0.3816417212347989,2232,248,4433,4119
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,95,-0.012867758418126976,0.514765043225199,0.9603960396039604,0.35161365762394764,0.35161365762394764,0.05,0.48613125453226974,0.6508068288119738,0.30161365762394765,2356,124,5545,3007
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,id_percentile,99,-0.006759437500641301,0.23663651315789475,0.9787414965986394,0.1345884003741815,0.1345884003741815,0.010080645161290322,0.32686729514140683,0.5622538776064455,0.12450775521289116,2455,25,7401,1151
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,50,-0.028255427143676376,0.6240985048372911,0.5885865958858659,0.6641707225758143,0.6641707225758143,0.5,0.5851291011454086,0.5820853612879071,0.16417072257581433,1240,1240,897,1774
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,60,-0.02567707245838572,0.568861105684704,0.5947712418300654,0.5451141894421565,0.5451141894421565,0.4,0.5715395068918656,0.5725570947210783,0.14511418944215648,1488,992,1215,1456
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,70,-0.023003890515165975,0.4922737306843267,0.5997848305540613,0.41744664919505803,0.41744664919505803,0.3,0.5534847602407299,0.5587233245975289,0.11744664919505804,1736,744,1556,1115
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,80,-0.020124180966777237,0.4184769038701623,0.6281859070464768,0.3137401722201423,0.3137401722201423,0.2,0.5478547854785478,0.5568700861100712,0.11374017222014227,1984,496,1833,838
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,90,-0.016132074578717674,0.30929626411815814,0.6828644501278772,0.19992512167727444,0.19992512167727444,0.1,0.5369831100757134,0.5499625608386373,0.09992512167727444,2232,248,2137,534
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,95,-0.012867758418126976,0.22257551669316375,0.7383966244725738,0.13103706476974916,0.13103706476974916,0.05,0.5253348864298194,0.5405185323848746,0.08103706476974916,2356,124,2321,350
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,id_percentile,99,-0.006759437500641301,0.07428571428571429,0.8062015503875969,0.038936727817296894,0.038936727817296894,0.010080645161290322,0.49679673849737915,0.5144280413280032,0.028856082656006574,2455,25,2567,104
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,50,-0.028255427143676376,0.8895126705653021,0.8214285714285714,0.9699030777078728,0.9699030777078728,0.5,0.83052266475302,0.7349515388539364,0.46990307770787276,1240,1240,177,5704
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,60,-0.02567707245838572,0.8900193798449613,0.8474550207596494,0.9370855296718246,0.9370855296718246,0.4,0.8371008252601363,0.7685427648359122,0.5370855296718245,1488,992,370,5511
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,70,-0.023003890515165975,0.8793030533705489,0.8747896331201616,0.883863288556368,0.883863288556368,0.3,0.8293266355699079,0.791931644278184,0.5838632885563679,1736,744,683,5198
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,80,-0.020124180966777237,0.843384420059853,0.9036144578313253,0.7906818568270703,0.7906818568270703,0.2,0.7934457600765459,0.7953409284135351,0.5906818568270702,1984,496,1231,4650
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,90,-0.016132074578717674,0.7381099444101297,0.9352987216279677,0.6095902057473219,0.6095902057473219,0.1,0.6957301758162899,0.754795102873661,0.509590205747322,2232,248,2296,3585
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,95,-0.012867758418126976,0.6134841837912722,0.9554117224020137,0.451793912599898,0.451793912599898,0.05,0.5995694294940797,0.700896956299949,0.401793912599898,2356,124,3224,2657
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,id_percentile,99,-0.006759437500641301,0.3011649647634115,0.976679104477612,0.1780309471178371,0.1780309471178371,0.010080645161290322,0.4188494199258462,0.5839751509782733,0.16795030195654678,2455,25,4834,1047
