experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,score_seconds,model_key,model_source,near_ood_percent,near_ood_ratio,near_ood_count,far_ood_count,ood_total,sampling_seed
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-040pct,4122,1984,2138,0.9280638937505657,0.9405972626055197,0.3860887096774194,3.3272268772125244,0.832401077273669,0.7471178876905913,0.9396632366697848,0.9396632366697848,0.34274193548387094,0.8037360504609413,0.7984606505929569,1304,680,129,2009,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,40,0.4,855,1283,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-050pct,4122,1984,2138,0.9140318525755151,0.9268905220303143,0.4526209677419355,3.3272268772125244,0.8263223656809663,0.7447447447447447,0.9279700654817586,0.9279700654817586,0.34274193548387094,0.7976710334788938,0.7926140649989438,1304,680,154,1984,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,50,0.5,1069,1069,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-060pct,4122,1984,2138,0.8986791431545911,0.9111512682623902,0.5055443548387096,3.3272268772125244,0.8179530201342282,0.7414448669201521,0.912067352666043,0.912067352666043,0.34274193548387094,0.7894226103833091,0.784662708591086,1304,680,188,1950,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,60,0.6,1283,855,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-070pct,4122,1984,2138,0.8833193612510939,0.8938591048276224,0.5393145161290323,3.3272268772125244,0.8104685521317011,0.7384615384615385,0.8980355472404116,0.8980355472404116,0.34274193548387094,0.782144590004852,0.7776468058782703,1304,680,218,1920,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,70,0.7,1497,641,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-080pct,4122,1984,2138,0.868029125426235,0.8746185182369829,0.5569556451612904,3.3272268772125244,0.8026343743360952,0.7353055663682366,0.8835360149672591,0.8835360149672591,0.34274193548387094,0.774623968947113,0.770397039741694,1304,680,249,1889,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,80,0.8,1710,428,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-090pct,4122,1984,2138,0.8533009162165425,0.8528569654601343,0.5811491935483871,3.3272268772125244,0.7946963216424294,0.7320724980299448,0.8690364826941066,0.8690364826941066,0.34274193548387094,0.7671033478893741,0.7631472736051178,1304,680,280,1858,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,90,0.9,1924,214,2138,77
experiment3_near_ood_ratio,Class-wise boundary,Class-wise Mahalanobis,min_class_mahalanobis,"regularization_lambda=1e-2, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-100pct,4122,1984,2138,0.8371273273182656,0.820510689620001,0.5957661290322581,3.3272268772125244,0.7856065503124326,0.7283260087894526,0.85266604303087,0.85266604303087,0.34274193548387094,0.7586123241145075,0.7549620537734996,1304,680,315,1823,0.00297550018876791,0.16532124998047948,class_mahalanobis,loaded,100,1.0,2138,0,2138,77
experiment3_near_ood_ratio,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-000pct,4122,1984,2138,0.9969989098946861,0.9969082532487213,0.016129032258064516,0.03517472743988037,0.8958726168028494,0.8113851992409867,1.0,1.0,0.2505040322580645,0.8794274623968947,0.8747479838709677,1487,497,0,2138,0.03856900008395314,0.7810466671362519,knn,loaded,0,0.0,0,2138,2138,77
experiment3_near_ood_ratio,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-010pct,4122,1984,2138,0.980184789824678,0.9843844007611375,0.11995967741935484,0.03517472743988037,0.8841837814948126,0.8077369439071567,0.9766136576239476,0.9766136576239476,0.2505040322580645,0.8672974284327997,0.8630548126829416,1487,497,50,2088,0.03856900008395314,0.7810466671362519,knn,loaded,10,0.1,214,1924,2138,77
experiment3_near_ood_ratio,Distance/support/density,kNN distance,mean_knn_distance,"k=1, distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD-ratio-020pct,4122,1984,2138,0.9662463411690155,0.9729595342089115,0.20413306451612903,0.03517472743988037,0.8770509269124228,0.8054794520547945,0.9625818521983162,0.9625818521983162,0.2505040322580645,0.8600194080543425,0.8560389099701258,1487,497,80,2058,0.03856900008395314,0.7810466671362519,knn,loaded,20,0.2,428,1710,2138,77
