experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,validation_selection_metric,validation_selection_group,validation_selected_model_key,validation_selected_hyperparameters,validation_selected_score,validation_selection_rank,is_validation_selected,score_seconds
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,eval,Near-OOD,4122,1984,2138,0.6387425408883793,0.6883174589463503,0.9546370967741935,-0.187808558344841,0.6541980077251474,0.5785688601222582,0.7525724976613658,0.7525724976613658,0.5907258064516129,0.5873362445414847,0.5809233456048765,812,1172,529,1609,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=95.0,validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9934792099827765,0.9971285509918617,0.025201612903225805,-0.187808558344841,0.8887417218543047,0.8003066962003749,0.9991491172091045,0.9991491172091045,0.5907258064516129,0.8240837696335078,0.7042116553787459,812,1172,4,4697,0.009215958882123232,radius_p95_0,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_best_f1,radius_p90_0,radius_percentile=90.0,0.9078986587183309,3,False,0.0027024587616324425
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,validation,Overall,2209,496,1713,0.8789039696438995,0.967151789320193,0.7782258064516129,-0.040126919746398926,0.85067279291106,0.9715142428785607,0.7565674255691769,0.7565674255691769,0.07661290322580645,0.79402444545043,0.8399772611716851,458,38,417,1296,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,validation,Near-OOD,1029,496,533,0.63008003994432,0.6900081963426774,0.9717741935483871,-0.040126919746398926,0.39831697054698456,0.7888888888888889,0.26641651031894936,0.26641651031894936,0.07661290322580645,0.5830903790087464,0.5949018035465714,458,38,391,142,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,validation,Far-OOD,1676,496,1180,0.9912964734827776,0.9961679796477242,0.03024193548387097,-0.040126919746398926,0.9730185497470489,0.9681208053691275,0.9779661016949153,0.9779661016949153,0.07661290322580645,0.9618138424821002,0.9506765992345544,458,38,26,1154,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,eval,Overall,8823,1984,6839,0.8754945249965803,0.9658937691570133,0.7600806451612904,-0.040126919746398926,0.8475836431226765,0.9741739460691227,0.7501096651557245,0.7501096651557245,0.06854838709677419,0.7908874532471948,0.8407806390294752,1848,136,1709,5130,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,0.002721542026847601
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,eval,Near-OOD,4122,1984,2138,0.6207428369896496,0.675523637678535,0.9526209677419355,-0.040126919746398926,0.38149466192170817,0.7976190476190477,0.2507015902712816,0.2507015902712816,0.06854838709677419,0.5783600194080544,0.5910766015872537,1848,136,1602,536,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,0.002721542026847601
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,train_id95,eval,Far-OOD,6685,1984,4701,0.9913547906759715,0.9960224471622539,0.028729838709677418,-0.040126919746398926,0.9742339094475665,0.9712473572938689,0.977238885343544,0.977238885343544,0.06854838709677419,0.9636499626028422,0.9543452491233848,1848,136,107,4594,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | train_id95,radius_p90_0,radius_percentile=90.0,0.8805874840357599,3,False,0.002721542026847601
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,validation_id95,validation,Overall,2209,496,1713,0.8789039696438995,0.967151789320193,0.7782258064516129,-0.027324683964252472,0.8493876199933796,0.9808868501529052,0.7489784004670169,0.7489784004670169,0.05040322580645161,0.79402444545043,0.8492875873302826,471,25,430,1283,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,3,False,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=97.5,validation_id95,validation,Near-OOD,1029,496,533,0.63008003994432,0.6900081963426774,0.9717741935483871,-0.027324683964252472,0.3802612481857765,0.8397435897435898,0.24577861163227016,0.24577861163227016,0.05040322580645161,0.5850340136054422,0.5976876929129092,471,25,402,131,0.00910825002938509,radius_p97_5,f1,Class-wise boundary | Class-wise radius | distance_minus_radius | validation_id95,radius_p90_0,radius_percentile=90.0,0.855072463768116,3,False,
