experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_source,model_key,score_seconds
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,validation,Near-OOD,1029,496,533,0.8644673334140289,0.8557732113169173,0.48185483870967744,0.491537868976593,0.8170289855072463,0.7898423817863398,0.8461538461538461,0.8461538461538461,0.24193548387096775,0.8036929057337221,0.8021091811414391,376,120,82,451,0.004129874985665083,loaded,one_class_svm,
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9976857230727174,0.9985596254754473,0.010080645161290322,0.491537868976593,0.9516129032258065,0.9076923076923077,1.0,1.0,0.24193548387096775,0.9284009546539379,0.8790322580645161,376,120,0,1180,0.004129874985665083,loaded,one_class_svm,
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,eval,Overall,8823,1984,6839,0.9531559170247489,0.9852267538090226,0.2550403225806452,0.491537868976593,0.9390701703725094,0.927420504776843,0.9510162304430473,0.9510162304430473,0.2565524193548387,0.904340927122294,0.8472319055441042,1475,509,335,6504,0.004129874985665083,loaded,one_class_svm,6.1312929592095315
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8598090146805877,0.8388998827967321,0.4954637096774194,0.491537868976593,0.8103370786516854,0.7798442906574394,0.843311506080449,0.843311506080449,0.2565524193548387,0.7952450266860748,0.7933795433628051,1475,509,335,1803,0.004129874985665083,loaded,one_class_svm,6.1312929592095315
experiment1_overall_comparison,Distance/support/density,One-Class SVM,negative_decision_function,"kernel=rbf, nu=0.3, gamma=30",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.995609794329964,0.9968587355658314,0.010584677419354838,0.491537868976593,0.9486429220058521,0.9023032629558542,1.0,1.0,0.2565524193548387,0.9238593866866118,0.8717237903225806,1475,509,0,4701,0.004129874985665083,loaded,one_class_svm,6.1312929592095315
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,validation,Overall,2209,496,1713,0.9270745061484285,0.979565355407273,0.4576612903225806,0.00011493370402604342,0.9141242937853107,0.8856048166392994,0.9445417396380619,0.9445417396380619,0.4213709677419355,0.8623811679492983,0.7615853859480632,287,209,95,1618,0.001528874970972538,loaded,pca_reconstruction,
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,validation,Near-OOD,1029,496,533,0.7681943351691582,0.7653635456379342,0.7439516129032258,0.00011493370402604342,0.7423728813559322,0.6769706336939721,0.8217636022514071,0.8217636022514071,0.4213709677419355,0.7045675413022352,0.7001963172547359,287,209,95,438,0.001528874970972538,loaded,pca_reconstruction,
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9988398715144887,0.9995130579422205,0.004032258064516129,0.00011493370402604342,0.9186453873102375,0.849532037437005,1.0,1.0,0.4213709677419355,0.8752983293556086,0.7893145161290323,287,209,0,1180,0.001528874970972538,loaded,pca_reconstruction,
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,eval,Overall,8823,1984,6839,0.926434947926739,0.979201081767761,0.46875,0.00011493370402604342,0.9112492933860938,0.881717489402434,0.9428278988156163,0.9428278988156163,0.43598790322580644,0.8576447920208545,0.753419997794905,1119,865,391,6448,0.001528874970972538,loaded,pca_reconstruction,0.0045465826988220215
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.7679714139684359,0.7552454076912949,0.7217741935483871,0.00011493370402604342,0.735578947368421,0.6688361408882083,0.8171188026192704,0.8171188026192704,0.43598790322580644,0.6952935468219311,0.690565449696732,1119,865,391,1747,0.001528874970972538,loaded,pca_reconstruction,0.0045465826988220215
