split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Far-OOD,lr_margin,0.9207880352803727,0.955733342708461,0.317741935483871,0.13991868495941162,0.9123350171093368,0.875801658063507,0.9520489712633906,0.9520489712633906,0.32016129032258067,0.8713072598971415,0.8159438404704049,0.6318876809408099,1686,794,282,5599
Far-OOD,lr_maxlogit,0.9877626692849033,0.994776973725508,0.05806451612903226,-8.144508361816406,0.9653937947494033,0.9678687403862588,0.962931474239075,0.962931474239075,0.07580645161290323,0.9514412151656501,0.9435625113130859,0.8871250226261718,2292,188,218,5663
Far-OOD,lr_energy,0.9907156932384771,0.9961497739435363,0.034274193548387094,-8.28780460357666,0.969442780107849,0.9760427438814202,0.962931474239075,0.962931474239075,0.05604838709677419,0.9573017581628992,0.9534415435711504,0.9068830871423008,2341,139,218,5663
Far-OOD,mlp_msp,0.916298454289648,0.9547713218976346,0.30282258064516127,0.00024014711380004883,0.9150455552819503,0.8844811171056808,0.9477979935385139,0.9477979935385139,0.29354838709677417,0.876210979547901,0.8271248032208698,0.6542496064417398,1752,728,307,5574
Far-OOD,mlp_entropy,0.9212797774133212,0.9599787123191091,0.2995967741935484,0.0018029359634965658,0.9153783563873068,0.8776720237166484,0.9564699880972624,0.9564699880972624,0.3161290322580645,0.8756129649563449,0.8201704779195989,0.6403409558391979,1696,784,256,5625
Far-OOD,mlp_margin,0.9125586566361876,0.9492427140520572,0.30282258064516127,0.0003591775894165039,0.914636140637776,0.8809261300992283,0.9510287366094201,0.9510287366094201,0.30483870967741933,0.8751345532831001,0.8230950134660004,0.6461900269320008,1724,756,288,5593
Far-OOD,mlp_maxlogit,0.916298454289648,0.9547713218976346,0.30282258064516127,0.00024017595569603145,0.9150455552819503,0.8844811171056808,0.9477979935385139,0.9477979935385139,0.29354838709677417,0.876210979547901,0.8271248032208698,0.6542496064417398,1752,728,307,5574
Far-OOD,gnb_msp,0.7583320191869937,0.8492602571100698,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,gnb_entropy,0.8693479137298352,0.9141671466426938,0.3616935483870968,1.1495184227244287e-32,0.9041473906338772,0.8649068322981367,0.9471178371025336,0.9471178371025336,0.35080645161290325,0.8587489534744648,0.7981556927448152,0.5963113854896304,1610,870,311,5570
Far-OOD,gnb_margin,0.7911337974669657,0.8675028103638223,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,gnb_maxlogit,0.7583320191869937,0.8492602571100698,1.0,-0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,lda_msp,0.7232292963671967,0.8289508436436108,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,lda_entropy,0.8106700569356758,0.8941200623656087,0.7620967741935484,1.9964042986653206e-70,0.8481294904616401,0.8245022479126526,0.8731508246896786,0.8731508246896786,0.4407258064516129,0.7800502332256907,0.7162125091190329,0.43242501823806573,1387,1093,746,5135
Far-OOD,lda_margin,0.725155640636056,0.829903212527531,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,lda_maxlogit,0.9529924826258427,0.9828504709700454,0.44637096774193546,-143.55669041118085,0.9337417943107221,0.9621212121212122,0.9069886073796973,0.9069886073796973,0.0846774193548387,0.9094605908384165,0.9111555940124293,0.8223111880248586,2270,210,547,5334
Far-OOD,lda_energy,0.9529931682674111,0.9828507602740253,0.44637096774193546,-143.55669041118085,0.9337417943107221,0.9621212121212122,0.9069886073796973,0.9069886073796973,0.0846774193548387,0.9094605908384165,0.9111555940124293,0.8223111880248586,2270,210,547,5334
Far-OOD,qda_msp,0.4846188312828079,0.6963012698117227,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,qda_entropy,0.5355704674978471,0.70271481140132,0.8379032258064516,2.5331525906e-314,0.8331180944181374,0.7206156137520169,0.9872470668253699,0.9872470668253699,0.9076612903225807,0.721803612008133,0.5397928882513946,0.0795857765027892,229,2251,75,5806
Far-OOD,qda_margin,0.48467368260829025,0.6963092752674916,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0.5,0.0,0,2480,0,5881
Far-OOD,qda_maxlogit,0.9969584254378507,0.9983510236446446,0.010483870967741936,142.48927044855927,0.989503978330794,0.9851677060509018,0.9938785920761776,0.9938785920761776,0.035483870967741936,0.9851692381294104,0.9791973605542178,0.9583947211084356,2392,88,36,5845
