model,score,threshold_source,id_percentile,threshold,accuracy,balanced_acc,f1,precision,recall_tpr,fpr,specificity,youden_j,tn,fp,fn,tp
MLP,Margin,id_percentile,60,8.597375563113019e-05,0.8418237853517041,0.7559752104770814,0.8993830363835553,0.8871573199863497,0.9119504209541628,0.4,0.6,0.5119504209541628,1488,992,753,7799
MLP,Margin,id_percentile,70,0.00038726325146853924,0.8352973168963017,0.7872661365762395,0.8916840536512668,0.90952207223641,0.874532273152479,0.3,0.7,0.5745322731524789,1736,744,1073,7479
MLP,Margin,id_percentile,80,0.0034383537713438272,0.7901559100797679,0.7936506080449017,0.8533046068056523,0.9313874671462167,0.7873012160898035,0.2,0.8,0.5873012160898035,1984,496,1819,6733
MLP,Margin,id_percentile,85,0.0111337685957551,0.748821609862219,0.7847404115996258,0.8162101213769317,0.9429885057471264,0.7194808231992517,0.15,0.85,0.5694808231992516,2108,372,2399,6153
MLP,Margin,id_percentile,90,0.03992624208331108,0.6816533720087019,0.7591674462114125,0.750709823963657,0.9552023121387283,0.618334892422825,0.1,0.9,0.518334892422825,2232,248,3264,5288
MLP,Margin,id_percentile,92.5,0.09212611615657806,0.6227338651196519,0.7300397567820394,0.6873967252516149,0.9609407811843763,0.5350795135640786,0.075,0.925,0.46007951356407856,2294,186,3976,4576
MLP,Margin,id_percentile,95,0.19176678359508514,0.5538433647570703,0.6944808231992516,0.6040225261464199,0.9680247550283652,0.43896164639850327,0.05,0.95,0.3889616463985033,2356,124,4798,3754
MLP,Margin,id_percentile,97.5,0.4978320598602295,0.42213560551124,0.6184050514499533,0.41260480973002855,0.9730551933941765,0.26181010289990647,0.025,0.975,0.23681010289990648,2418,62,6313,2239
MLP,Margin,id_percentile,99,0.7651876211166382,0.3255982596084119,0.5614353556232837,0.23409512044471897,0.9784853700516352,0.13295135640785782,0.010080645161290322,0.9899193548387096,0.1228707112465675,2455,25,7415,1137
MLP,MaxLogit,id_percentile,50,1.0967314665322192e-05,0.8427302393038434,0.7209162542623495,0.9028065654585178,0.8665447897623401,0.9422357343311506,0.5004032258064516,0.49959677419354837,0.441832508524699,1239,1241,494,8058
MLP,MaxLogit,id_percentile,60,4.947309207636863e-05,0.8416424945612763,0.7558582787652011,0.8992560982642293,0.8871316418250086,0.9117165575304023,0.4,0.6,0.5117165575304022,1488,992,755,7797
MLP,MaxLogit,id_percentile,70,0.00022343506861943752,0.8347534445250181,0.7869153414405987,0.8912874947820383,0.9094560058415481,0.8738306828811974,0.3,0.7,0.5738306828811974,1736,744,1079,7473
MLP,MaxLogit,id_percentile,80,0.0018943120958283544,0.7931472081218274,0.7955799812909261,0.8556974832426963,0.9316992564031947,0.7911599625818522,0.2,0.8,0.5911599625818522,1984,496,1786,6766
MLP,MaxLogit,id_percentile,85,0.0060157813131809235,0.7527193618564177,0.7872544434050515,0.8195767195767196,0.9433617539585871,0.724508886810103,0.15,0.85,0.5745088868101029,2108,372,2356,6196
MLP,MaxLogit,id_percentile,90,0.021184084936976433,0.6896301667875272,0.764312441534144,0.7584650112866818,0.9559032716927454,0.6286248830682881,0.1,0.9,0.5286248830682881,2232,248,3176,5376
MLP,MaxLogit,id_percentile,92.5,0.04930824413895607,0.633339376359681,0.7368802619270347,0.6988310624674261,0.9618774339003894,0.5487605238540693,0.075,0.925,0.47376052385406925,2294,186,3859,4693
MLP,MaxLogit,id_percentile,95,0.11565317958593369,0.5571972443799855,0.6966440598690364,0.6081655570706666,0.9683269476372924,0.44328811973807297,0.05,0.95,0.393288119738073,2356,124,4761,3791
MLP,MaxLogit,id_percentile,97.5,0.3206857442855835,0.43627628716461203,0.6275257249766136,0.43509855572713235,0.9747659747659748,0.28005144995322734,0.025,0.975,0.2550514499532273,2418,62,6157,2395
MLP,MaxLogit,id_percentile,99,0.5158491730690002,0.3582306018854242,0.5824830637617309,0.29720071471113757,0.9835742444152431,0.1750467726847521,0.010080645161290322,0.9899193548387096,0.1649661275234618,2455,25,7055,1497
GNB,MSP,id_percentile,50,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MSP,id_percentile,60,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MSP,id_percentile,70,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MSP,id_percentile,80,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MSP,id_percentile,85,0.0,0.7751994198694706,0.5,0.8733660130718954,0.7751994198694706,1.0,1.0,0.0,0.0,0,2480,0,8552
GNB,MSP,id_percentile,90,8.001279638847227e-11,0.5598259608411893,0.6805893358278765,0.6189579409918393,0.9408396946564885,0.46117867165575305,0.1,0.9,0.361178671655753,2232,248,4608,3944
GNB,MSP,id_percentile,92.5,1.4196276398870446e-08,0.49827773749093546,0.6497661365762395,0.5364709823297881,0.9451165535556211,0.37453227315247895,0.075,0.925,0.29953227315247893,2294,186,5349,3203
GNB,MSP,id_percentile,95,2.008813359522968e-05,0.39439811457577956,0.5916393826005613,0.37391059881922967,0.9414818310523831,0.23327876520112253,0.05,0.95,0.18327876520112252,2356,124,6557,1995
GNB,MSP,id_percentile,97.5,0.0020455100521085284,0.3257795503988397,0.556255846585594,0.24024514811031664,0.9499192245557351,0.13751169317118803,0.025,0.975,0.11251169317118803,2418,62,7376,1176
GNB,MSP,id_percentile,99,0.058218843554297746,0.2692168237853517,0.5250695932285223,0.11328640563132424,0.9537037037037037,0.06021983161833489,0.010080645161290322,0.9899193548387096,0.05013918645704457,2455,25,8037,515
